2026/07/15 21:00:11.960, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:12.960, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 21:00:12.961, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:13.961, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 21:00:13.961, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:14.961, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 21:00:14.961, 1, 19319 MiB, 21122 MiB, 86 %
2026/07/15 21:00:15.961, 0, 20905 MiB, 19536 MiB, 82 %
2026/07/15 21:00:15.962, 1, 19319 MiB, 21122 MiB, 85 %
2026/07/15 21:00:16.962, 0, 20905 MiB, 19536 MiB, 80 %
2026/07/15 21:00:16.962, 1, 19319 MiB, 21122 MiB, 92 %
2026/07/15 21:00:17.962, 0, 20905 MiB, 19536 MiB, 76 %
2026/07/15 21:00:17.963, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:18.963, 0, 20905 MiB, 19536 MiB, 90 %
2026/07/15 21:00:18.963, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:19.963, 0, 20905 MiB, 19536 MiB, 65 %
2026/07/15 21:00:19.963, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:20.964, 0, 20905 MiB, 19536 MiB, 70 %
2026/07/15 21:00:20.964, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:21.964, 0, 20907 MiB, 19534 MiB, 94 %
2026/07/15 21:00:21.964, 1, 19319 MiB, 21122 MiB, 76 %
2026/07/15 21:00:22.964, 0, 20907 MiB, 19534 MiB, 98 %
2026/07/15 21:00:22.965, 1, 19319 MiB, 21122 MiB, 90 %
2026/07/15 21:00:23.965, 0, 20907 MiB, 19534 MiB, 98 %
2026/07/15 21:00:23.965, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:00:24.965, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:00:24.965, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:25.965, 0, 20907 MiB, 19534 MiB, 92 %
2026/07/15 21:00:25.966, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:26.966, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:26.966, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:27.967, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:27.967, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:28.967, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:28.967, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:29.967, 0, 20907 MiB, 19534 MiB, 99 %
2026/07/15 21:00:29.968, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:30.968, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:30.969, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:31.969, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:00:31.969, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:32.969, 0, 20907 MiB, 19534 MiB, 90 %
2026/07/15 21:00:32.969, 1, 19319 MiB, 21122 MiB, 71 %
2026/07/15 21:00:33.970, 0, 20907 MiB, 19534 MiB, 86 %
2026/07/15 21:00:33.970, 1, 19319 MiB, 21122 MiB, 65 %
2026/07/15 21:00:34.970, 0, 20907 MiB, 19534 MiB, 88 %
2026/07/15 21:00:34.970, 1, 19319 MiB, 21122 MiB, 74 %
2026/07/15 21:00:35.970, 0, 20907 MiB, 19534 MiB, 80 %
2026/07/15 21:00:35.970, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:36.971, 0, 20907 MiB, 19534 MiB, 89 %
2026/07/15 21:00:36.971, 1, 19319 MiB, 21122 MiB, 90 %
2026/07/15 21:00:37.971, 0, 20907 MiB, 19534 MiB, 94 %
2026/07/15 21:00:37.971, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:38.971, 0, 20907 MiB, 19534 MiB, 62 %
2026/07/15 21:00:38.972, 1, 19319 MiB, 21122 MiB, 88 %
2026/07/15 21:00:39.972, 0, 20907 MiB, 19534 MiB, 86 %
2026/07/15 21:00:39.972, 1, 19319 MiB, 21122 MiB, 98 %
2026/07/15 21:00:40.972, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:40.972, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:41.973, 0, 20907 MiB, 19534 MiB, 97 %
2026/07/15 21:00:41.973, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:42.973, 0, 20907 MiB, 19534 MiB, 84 %
2026/07/15 21:00:42.974, 1, 19319 MiB, 21122 MiB, 98 %
2026/07/15 21:00:43.974, 0, 20907 MiB, 19534 MiB, 76 %
2026/07/15 21:00:43.974, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:44.974, 0, 20907 MiB, 19534 MiB, 70 %
2026/07/15 21:00:44.974, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:45.975, 0, 20907 MiB, 19534 MiB, 62 %
2026/07/15 21:00:45.975, 1, 19319 MiB, 21122 MiB, 87 %
2026/07/15 21:00:46.975, 0, 20907 MiB, 19534 MiB, 92 %
2026/07/15 21:00:46.975, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 21:00:47.976, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:00:47.976, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 21:00:48.976, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:00:48.977, 1, 19319 MiB, 21122 MiB, 88 %
2026/07/15 21:00:49.977, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:00:49.977, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:00:50.977, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:50.977, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:51.978, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:00:51.978, 1, 19319 MiB, 21122 MiB, 87 %
2026/07/15 21:00:52.978, 0, 20907 MiB, 19534 MiB, 91 %
2026/07/15 21:00:52.978, 1, 19319 MiB, 21122 MiB, 78 %
2026/07/15 21:00:53.978, 0, 20907 MiB, 19534 MiB, 72 %
2026/07/15 21:00:53.978, 1, 19319 MiB, 21122 MiB, 93 %
2026/07/15 21:00:54.978, 0, 20907 MiB, 19534 MiB, 79 %
2026/07/15 21:00:54.979, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:00:55.979, 0, 20907 MiB, 19534 MiB, 100 %
2026/07/15 21:00:55.979, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:56.979, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:00:56.979, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:57.980, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:00:57.980, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:58.980, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:00:58.980, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:59.980, 0, 20907 MiB, 19534 MiB, 83 %
2026/07/15 21:00:59.980, 1, 19319 MiB, 21122 MiB, 83 %
2026/07/15 21:01:00.981, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:01:00.981, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 21:01:01.981, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:01:01.981, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 21:01:02.981, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:01:02.981, 1, 19319 MiB, 21122 MiB, 89 %
2026/07/15 21:01:03.982, 0, 20907 MiB, 19534 MiB, 71 %
2026/07/15 21:01:03.982, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 21:01:04.982, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:01:04.982, 1, 19319 MiB, 21122 MiB, 90 %
2026/07/15 21:01:05.982, 0, 20907 MiB, 19534 MiB, 99 %
2026/07/15 21:01:05.983, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:01:06.983, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:01:06.983, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:01:07.983, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:01:07.983, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:01:08.983, 0, 20907 MiB, 19534 MiB, 96 %
2026/07/15 21:01:08.984, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:01:09.984, 0, 20907 MiB, 19534 MiB, 94 %
2026/07/15 21:01:09.984, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:01:10.984, 0, 20907 MiB, 19534 MiB, 95 %
2026/07/15 21:01:10.984, 1, 19319 MiB, 21122 MiB, 97 %
