2026/07/15 20:54:22.878, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:54:22.878, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:23.878, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:23.879, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:24.879, 0, 35261 MiB, 5180 MiB, 89 %
2026/07/15 20:54:24.879, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:25.879, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:25.879, 1, 37849 MiB, 2592 MiB, 89 %
2026/07/15 20:54:26.879, 0, 35261 MiB, 5180 MiB, 98 %
2026/07/15 20:54:26.880, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:27.880, 0, 35261 MiB, 5180 MiB, 73 %
2026/07/15 20:54:27.880, 1, 37849 MiB, 2592 MiB, 92 %
2026/07/15 20:54:28.880, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:54:28.880, 1, 37849 MiB, 2592 MiB, 91 %
2026/07/15 20:54:29.880, 0, 35261 MiB, 5180 MiB, 93 %
2026/07/15 20:54:29.881, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:30.881, 0, 35261 MiB, 5180 MiB, 94 %
2026/07/15 20:54:30.881, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:31.881, 0, 35261 MiB, 5180 MiB, 99 %
2026/07/15 20:54:31.881, 1, 37849 MiB, 2592 MiB, 92 %
2026/07/15 20:54:32.882, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:32.882, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:33.882, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:54:33.882, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:34.882, 0, 35261 MiB, 5180 MiB, 93 %
2026/07/15 20:54:34.883, 1, 37849 MiB, 2592 MiB, 86 %
2026/07/15 20:54:35.883, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:54:35.883, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:36.883, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:54:36.883, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:54:37.883, 0, 35261 MiB, 5180 MiB, 86 %
2026/07/15 20:54:37.884, 1, 37849 MiB, 2592 MiB, 88 %
2026/07/15 20:54:38.884, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:38.884, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:39.884, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:39.884, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:40.884, 0, 35261 MiB, 5180 MiB, 89 %
2026/07/15 20:54:40.885, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:41.885, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:54:41.885, 1, 37849 MiB, 2592 MiB, 90 %
2026/07/15 20:54:42.885, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:42.885, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:43.886, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:43.886, 1, 37849 MiB, 2592 MiB, 98 %
2026/07/15 20:54:44.886, 0, 35261 MiB, 5180 MiB, 90 %
2026/07/15 20:54:44.886, 1, 37849 MiB, 2592 MiB, 87 %
2026/07/15 20:54:45.886, 0, 35261 MiB, 5180 MiB, 98 %
2026/07/15 20:54:45.887, 1, 37849 MiB, 2592 MiB, 88 %
2026/07/15 20:54:46.887, 0, 35261 MiB, 5180 MiB, 87 %
2026/07/15 20:54:46.888, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:54:47.888, 0, 35261 MiB, 5180 MiB, 95 %
2026/07/15 20:54:47.888, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:48.889, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:48.889, 1, 37849 MiB, 2592 MiB, 90 %
2026/07/15 20:54:49.889, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:49.889, 1, 37849 MiB, 2592 MiB, 95 %
2026/07/15 20:54:50.889, 0, 35261 MiB, 5180 MiB, 88 %
2026/07/15 20:54:50.889, 1, 37849 MiB, 2592 MiB, 95 %
2026/07/15 20:54:51.890, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:54:51.891, 1, 37849 MiB, 2592 MiB, 97 %
2026/07/15 20:54:52.891, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:54:52.891, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:54:53.891, 0, 35261 MiB, 5180 MiB, 98 %
